complaint_id,customer_id,submitted_at,channel,category,subcategory,priority,status,assigned_agent_id,raw_text,sentiment_label,confidence_score,created_at,updated_at
ff3fb573-9994-4e30-aada-a7069187634b,d9874677-f96b-4061-8cb4-c614248cbccd,2026-01-15T21:35:51+00:00,phone,service_outage,app down,critical,escalated,,This service outage has been going on way too long. It started last month when I tried to transfer money and got an error message. I thought maybe it was temporary so I waited a few hours and tried again but same problem. I contacted support and they confirmed there was a system issue but said they didnt have an ETA for the fix. Meanwhile im missing payment deadlines and getting late fees. Your company needs to fix this immediately and compensate customers for the inconvenience.,very_negative,0.41,2026-01-15T21:35:51+00:00,2026-01-16T04:35:51+00:00
425fc9a2-db05-4c9e-af94-9f11e48e3dbb,03b7b8fc-83d6-4946-8d4b-00767a03f90a,2026-02-26T20:32:51+00:00,portal,billing_dispute,billing error,high,escalated,,i got billed for somthing i already paid for. this is the third time this month,neutral,0.73,2026-02-26T20:32:51+00:00,2026-02-28T14:32:51+00:00
6ff80f44-ac8d-41b7-8e76-7502898c61ea,af51ce58-b3c2-45a2-9cea-bc97ffacc28d,2026-01-24T11:14:51+00:00,phone,fraud,phishing,medium,in_progress,2119e65b-bc5e-4281-94ab-bc45a7807497,I think my card information got stolen and someone is making purchases with it. This began last Tuesday when I noticed charges from overseas merchants that I dont recognize at all. I immediately called to report fraud and your agent said they would send me a new card but its been over a week and I still havent recieved it. In the meantime more fraudulent charges keep appearing. This needs to be handled urgently.,very_negative,0.88,2026-01-24T11:14:51+00:00,2026-01-26T10:14:51+00:00
f6ef66dc-23b6-4989-90e6-2895fddf0f4a,f0817ffe-8c70-44cd-8fe6-a14f7f3c2469,2025-12-29T10:38:51+00:00,social_media,refund_request,defective product,medium,closed,,Im writing to request a refund for a defective product I purchased two weeks ago. I spent $113 at Amazon and the item arrived broken so I sent it back immediately. They confirmed receipt but said the refund would come from the bank not them. I contacted your team last week and was told to wait but im still waiting. This is my money and I need it back to pay for a replacement. Please process this refund urgently.,neutral,0.31,2025-12-29T10:38:51+00:00,2025-12-30T08:38:51+00:00
126fc271-075b-4a7e-a55b-90476c27736c,dc86e423-016c-4a43-9af0-cf46cbfc51f2,2025-11-01T17:05:51+00:00,portal,refund_request,service issue,low,closed,,This refund situation has been dragging on since last Friday and im losing patience. I returned an item to Uber and they confirmed they recieved it but I still havent gotten my money back. Your support team told me it takes 5 to 7 business days but its been almost three weeks now. I need this $81 refund because I have bills due. Can someone please expedite this refund request?,negative,0.42,2025-11-01T17:05:51+00:00,2025-11-02T05:05:51+00:00
a8ac992e-7a83-457e-be62-9a60e9d468df,7381da5f-49e9-4c9f-b0e5-70597e92cb8e,2025-12-28T04:50:51+00:00,phone,billing_dispute,incorrect amount,medium,resolved,fcea15b8-5896-4d70-b59c-3b8b1a8c46d6,"This is the third time im contacting you about the same charge on my statement. Back in the beginning of the month I noticed a charge from Uber that I didnt make and I reported it right away. Your support team said it would be reversed within 5 business days but its been over two weeks now. I cant afford to keep losing money like this, I have bills to pay. Please fix this billing error once and for all.",neutral,0.52,2025-12-28T04:50:51+00:00,2025-12-28T19:50:51+00:00
5e69d7c2-949b-406b-8814-c61da8024402,52cf29a1-bcb8-4463-bf8f-7c905a9151f4,2026-02-07T21:49:51+00:00,email,billing_dispute,incorrect amount,low,escalated,,can i get a loan with no credit check,negative,0.65,2026-02-07T21:49:51+00:00,2026-02-08T07:49:51+00:00
36001e34-1058-49b2-84e2-f72fc2eb15e3,a75cec0c-50a0-4567-92e3-b7921632daec,2026-03-02T23:47:51+00:00,portal,service_outage,payment failure,low,resolved,ebe8dd05-fe59-47b3-8d3a-65165b6cc200,service has been down since yesterday. when will it be back up I've been a customer for years and this keeps happening. been trying to transfer money for the past hour. nothing is working Seriously considering switching banks. This is unacceptable.,very_negative,0.85,2026-03-02T23:47:51+00:00,2026-03-04T15:47:51+00:00
24d84ade-92b9-4cf4-bc5e-05cdf6474788,9c43c6b0-445e-4aa1-9ca0-dce516914e58,2025-10-29T08:00:51+00:00,chat,account_access,password reset,low,closed,,Im having major issues logging in and its been going on since last month. The website keeps timing out and the mobile app just shows an error message. I called technical support and they walked me through some troubleshooting steps but nothing worked. They said they would escalate it to the tech team but I havent heard back. I need to transfer money urgently and I cant do that if I cant log in. Please fix this now.,very_negative,0.41,2025-10-29T08:00:51+00:00,2025-10-30T14:00:51+00:00
3ebfcf63-bb3a-40e6-8898-d693af9a7fa9,bd560b0c-c6f8-4bd4-bed4-dc4e3b716e99,2026-02-11T11:36:51+00:00,phone,account_access,locked out,high,pending_customer,,account locked after i entered wrong pin. how do i unlock it I've been a customer for years and this keeps happening. YOUR APP WONT LET ME IN. IVE TRIED 10 TIMES. FIX THIS Seriously considering switching banks. This is unacceptable.,very_negative,0.64,2026-02-11T11:36:51+00:00,2026-02-11T15:36:51+00:00
99293197-4a16-468f-a9bb-5e8cd8373aa6,20c0c306-e1ee-4cf7-b283-22c285e98c21,2026-02-24T21:51:51+00:00,chat,billing_dispute,incorrect amount,high,resolved,,This billing problem has been going on for way too long now. It started last Friday when I noticed a charge for $331 that I never approved. I contacted support immediately and they opened a case but I havent heard anything since then. Meanwhile im still being charged interest on this amount which is completely unfair. I need this resolved asap because I cant keep paying for something I didnt buy.,negative,0.4,2026-02-24T21:51:51+00:00,2026-02-26T18:51:51+00:00
960e41e5-5405-4227-b188-f645ed258391,9704969d-facd-43fa-bfd0-c601e1eda7dc,2026-02-08T07:36:51+00:00,portal,account_access,locked out,low,closed,090f724d-0451-4247-b7bb-bd53cda8aae3,I cant get into my account and this has been a problem since last Tuesday. Every time I enter my password it says its incorrect but I know im using the right one. I tried resetting it multiple times but the reset email never comes through. I called support and they said they would send a manual reset link but that was days ago and I still havent recieved anything. I need to access my account to pay my rent. Please help me get back in.,negative,0.47,2026-02-08T07:36:51+00:00,2026-02-08T10:36:51+00:00
8fe15a22-be81-4aba-91da-675276b0fa40,35606ee6-a8b3-4555-a17e-fe5ccd13a9f2,2025-09-19T15:53:51+00:00,email,account_access,password reset,high,open,,Im having major issues logging in and its been going on since two weeks ago. The website keeps timing out and the mobile app just shows an error message. I called technical support and they walked me through some troubleshooting steps but nothing worked. They said they would escalate it to the tech team but I havent heard back. I need to transfer money urgently and I cant do that if I cant log in. Please fix this now.,negative,0.5,2025-09-19T15:53:51+00:00,2025-09-19T20:53:51+00:00
eefaec1d-a473-4ad9-9822-5a9a270ce2d3,93bccd7a-f464-4d66-b3c4-b383819761ba,2025-09-22T04:21:51+00:00,chat,fraud,phishing,medium,in_progress,,This is a serious fraud situation and im really worried about my account security. Starting last month I saw multiple transactions from places ive never been to and for amounts I would never spend. I reported this to your team last week and they said they would investigate but I havent heard back and the charges are still on my statement. I cant sleep knowing someone has access to my account. Please freeze my card and reverse all fraudulent charges.,very_negative,0.71,2025-09-22T04:21:51+00:00,2025-09-23T12:21:51+00:00
50ff933d-dbc0-4470-af04-68d6cec399c7,6576f273-a6e7-4b19-94c7-20d2f2924548,2026-01-11T21:36:51+00:00,email,card_issue,damaged card,low,open,,i lost my card. need to order a replacement urgently,very_negative,0.54,2026-01-11T21:36:51+00:00,2026-01-12T23:36:51+00:00
ddb19014-bb14-418d-b01f-a00a1fa9eac0,35606ee6-a8b3-4555-a17e-fe5ccd13a9f2,2026-01-05T09:26:51+00:00,email,service_outage,system error,low,closed,,This service outage has been going on way too long. It started last Tuesday when I tried to transfer money and got an error message. I thought maybe it was temporary so I waited a few hours and tried again but same problem. I contacted support and they confirmed there was a system issue but said they didnt have an ETA for the fix. Meanwhile im missing payment deadlines and getting late fees. Your company needs to fix this immediately and compensate customers for the inconvenience.,negative,0.58,2026-01-05T09:26:51+00:00,2026-01-07T08:26:51+00:00
5d56108f-61d0-47be-b1ef-4e8035cb3140,35606ee6-a8b3-4555-a17e-fe5ccd13a9f2,2026-03-05T01:03:51+00:00,portal,fraud,account takeover,low,pending_customer,,someone used my card in Nigeria. i was not there. FRAUD I've been a customer for years and this keeps happening. fraudulent activity on my account. multiple charges from overseas. help Seriously considering switching banks. This is unacceptable.,neutral,0.59,2026-03-05T01:03:51+00:00,2026-03-05T09:03:51+00:00
c11784a6-3927-4215-8dc8-6aea155b842a,fa3c5aec-cb0d-4f22-b8b0-24a3129e6cca,2026-02-21T22:36:51+00:00,portal,account_access,password reset,medium,closed,,"This is ridiculous, ive been locked out since last month and nobody seems to care. The app keeps saying my account is temporarily unavailable but its been over a week now. I already contacted support twice and both times they said it would be fixed within 24 hours but here we are still with the same problem. I cant check my balance or make payments and its affecting my credit. Someone needs to unlock my account immediately.",neutral,0.47,2026-02-21T22:36:51+00:00,2026-02-23T17:36:51+00:00
